group,,X,X,X,X,X,X,X,X,W,W,Z,Z,sampling,bolus,bolus,bolus,cumulative-sampling,cumulative-sampling,cumulative-sampling,cumulative-sampling,cumulative-sampling,cumulative-sampling,cumulative-sampling,cumulative-sampling,cumulative-sampling,cumulative-bolus,cumulative-bolus,cumulative-bolus,cumulative-total,cumulative-total,cumulative-total,cumulative-total,cumulative-total,cumulative-total,cumulative-total,cumulative-total,cumulative-total,initial-volume,computed-volume
var,,VCD:VCD,X:Glc,X:Gln,X:Amm,X:Lac,X:DCD,X:Lysed,X:Titer,W:temp,W:pH,Z:Stir,Z:DO,SampleVol:BRvol,BolusFeed:BRvol,BolusFeed_Glc:Glc,BolusFeed_Gln:Gln,Cumulative-SampleVol:BRvol,Cumulative-SampleVol:VCD,Cumulative-SampleVol:Glc,Cumulative-SampleVol:Gln,Cumulative-SampleVol:Amm,Cumulative-SampleVol:Lac,Cumulative-SampleVol:DCD,Cumulative-SampleVol:Lysed,Cumulative-SampleVol:Titer,Cumulative-BolusFeed:BRvol,Cumulative-BolusFeed_Glc:Glc,Cumulative-BolusFeed_Gln:Gln,Cumulative-Total:BRvol,Cumulative-Total:VCD,Cumulative-Total:Glc,Cumulative-Total:Gln,Cumulative-Total:Amm,Cumulative-Total:Lac,Cumulative-Total:DCD,Cumulative-Total:Lysed,Cumulative-Total:Titer,Volume:BRvol,ComputedBRvol
run_idx,timestamps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0.4594663541786473,4.393080527793924,4.722151299900522,0.1,0.1,0.0,0.0,0.0,36.57894736842105,7.263157894736842,163.1578947368421,73.42105263157896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,86400,1.299535834584653,4.058013050724695,3.686529167127922,0.2718475885980015,0.6737888131327485,0.0005421546128508437,4.687215170293984e-07,5.387658185647711,36.57894736842105,7.263157894736842,163.1578947368421,73.42105263157896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,172800,3.100495205360435,3.304942806598336,1.608964087636373,0.4681541067411225,1.884428792377299,0.007863970430408044,1.041443835765653e-05,26.30002721306603,36.57894736842105,7.263157894736842,163.1578947368421,73.42105263157896,0.0,0.0,4.421052631578947,6.789473684210527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,259200,6.184291402302895,6.343180342539329,4.678455668666375,0.8582591342281777,3.675177479452079,0.05812288643064932,9.879816256264618e-05,88.79621873826724,36.57894736842105,7.263157894736842,163.1578947368421,73.42105263157896,0.0,0.0,4.421052631578947,6.789473684210527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.421052631578947,6.789473684210527,0.0,0.0,4.421052631578947,6.789473684210527,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,345600,10.34688331570626,8.69970521213815,6.167046915153675,1.390318243816494,5.186655827086606,0.2553708591425587,0.0005659427791016175,229.0479833198107,36.57894736842105,7.263157894736842,163.1578947368421,73.42105263157896,0.0,0.0,4.421052631578947,6.789473684210527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.842105263157894,13.578947368421055,0.0,0.0,8.842105263157894,13.578947368421055,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,432000,15.41574422871344,10.30585456714548,6.061832978863166,2.020203123971635,5.89090998967629,0.7576928236022029,0.002166999324534177,475.0519002235786,36.57894736842105,7.263157894736842,163.1578947368421,73.42105263157896,0.0,0.0,4.421052631578947,6.789473684210527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.26315789473684,20.368421052631582,0.0,0.0,13.26315789473684,20.368421052631582,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,518400,21.34695425230086,11.03089541481652,4.221874157596281,2.710728567902154,6.017158793019338,1.729380883597877,0.006202824739854795,848.5763010871129,36.57894736842105,7.263157894736842,163.1578947368421,73.42105263157896,0.0,0.0,4.421052631578947,6.789473684210527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.684210526315788,27.15789473684211,0.0,0.0,17.684210526315788,27.15789473684211,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,604800,28.04656133552757,10.7658587258868,0.60034523188442,3.416467273526442,5.824884833398374,3.31518646957003,0.01449463132066726,1366.273489431899,36.57894736842105,7.263157894736842,163.1578947368421,73.42105263157896,0.0,0.0,4.421052631578947,6.789473684210527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.105263157894733,33.94736842105264,0.0,0.0,22.105263157894733,33.94736842105264,0.0,0.0,0.0,0.0,0.0,1.0,1.0
