group,,X,X,X,X,X,X,X,X,W,W,Z,Z,sampling,bolus,bolus,bolus,cumulative-sampling,cumulative-sampling,cumulative-sampling,cumulative-sampling,cumulative-sampling,cumulative-sampling,cumulative-sampling,cumulative-sampling,cumulative-sampling,cumulative-bolus,cumulative-bolus,cumulative-bolus,cumulative-total,cumulative-total,cumulative-total,cumulative-total,cumulative-total,cumulative-total,cumulative-total,cumulative-total,cumulative-total,initial-volume,computed-volume
var,,VCD:VCD,X:Glc,X:Gln,X:Amm,X:Lac,X:DCD,X:Lysed,X:Titer,W:temp,W:pH,Z:Stir,Z:DO,SampleVol:BRvol,BolusFeed:BRvol,BolusFeed_Glc:Glc,BolusFeed_Gln:Gln,Cumulative-SampleVol:BRvol,Cumulative-SampleVol:VCD,Cumulative-SampleVol:Glc,Cumulative-SampleVol:Gln,Cumulative-SampleVol:Amm,Cumulative-SampleVol:Lac,Cumulative-SampleVol:DCD,Cumulative-SampleVol:Lysed,Cumulative-SampleVol:Titer,Cumulative-BolusFeed:BRvol,Cumulative-BolusFeed_Glc:Glc,Cumulative-BolusFeed_Gln:Gln,Cumulative-Total:BRvol,Cumulative-Total:VCD,Cumulative-Total:Glc,Cumulative-Total:Gln,Cumulative-Total:Amm,Cumulative-Total:Lac,Cumulative-Total:DCD,Cumulative-Total:Lysed,Cumulative-Total:Titer,Volume:BRvol,ComputedBRvol
run_idx,timestamps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0.546521425520472,5.641989706936131,5.5465651220595,0.1,0.1,0.0,0.0,0.0,36.26315789473684,7.473684210526316,194.7368421052632,76.05263157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,86400,1.526424420442805,5.918900190721852,4.594278416345451,0.1644873901607486,0.4543042793094552,0.02508316125464318,0.0,16.86501023640745,36.26315789473684,7.473684210526316,194.7368421052632,76.05263157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,172800,3.391525357681479,5.004406849995908,2.211346621204978,0.6472809336849413,1.557714863758435,0.01695315811877681,0.0,18.44988629154455,36.26315789473684,7.473684210526316,194.7368421052632,76.05263157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,259200,5.450851814940914,2.873082550191854,0.0,0.5212008912664066,2.766574381954264,0.05452578361825205,0.0,75.68464980520204,36.26315789473684,7.473684210526316,194.7368421052632,76.05263157894737,0.0,0.0,5.473684210526316,6.263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,345600,8.953292054039393,7.456571106960634,1.631148031116281,1.064386000710166,4.35763188051871,0.1707860964148288,0.0,147.655385279557,36.26315789473684,7.473684210526316,194.7368421052632,76.05263157894737,0.0,0.0,5.473684210526316,6.263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.473684210526316,6.263157894736842,0.0,0.0,5.473684210526316,6.263157894736842,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,432000,14.74039878355175,9.775066215909861,1.298586314549579,1.752325560275232,5.941497192055626,0.536163936468257,0.008259312613835222,309.0663519508788,36.26315789473684,7.473684210526316,194.7368421052632,76.05263157894737,0.0,0.0,5.473684210526316,6.263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.947368421052632,12.526315789473683,0.0,0.0,10.947368421052632,12.526315789473683,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,518400,19.6696039547419,12.17472247072859,0.0,2.14303156449138,6.971811041237327,1.251192108507336,0.003444543000771518,622.783818378939,36.26315789473684,7.473684210526316,194.7368421052632,76.05263157894737,0.0,0.0,5.473684210526316,6.263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.42105263157895,18.789473684210524,0.0,0.0,16.42105263157895,18.789473684210524,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,604800,24.44569962453845,13.79244482013362,0.05829234393032992,2.463444581769471,5.488813224959553,2.47779920847919,0.01601297726287777,813.1446408464761,36.26315789473684,7.473684210526316,194.7368421052632,76.05263157894737,0.0,0.0,5.473684210526316,6.263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.894736842105264,25.052631578947366,0.0,0.0,21.894736842105264,25.052631578947366,0.0,0.0,0.0,0.0,0.0,1.0,1.0
