group,,X,X,X,X,X,X,X,X,W,W,Z,Z,sampling,bolus,bolus,bolus,cumulative-sampling,cumulative-sampling,cumulative-sampling,cumulative-sampling,cumulative-sampling,cumulative-sampling,cumulative-sampling,cumulative-sampling,cumulative-sampling,cumulative-bolus,cumulative-bolus,cumulative-bolus,cumulative-total,cumulative-total,cumulative-total,cumulative-total,cumulative-total,cumulative-total,cumulative-total,cumulative-total,cumulative-total,initial-volume,computed-volume
var,,VCD:VCD,X:Glc,X:Gln,X:Amm,X:Lac,X:DCD,X:Lysed,X:Titer,W:temp,W:pH,Z:Stir,Z:DO,SampleVol:BRvol,BolusFeed:BRvol,BolusFeed_Glc:Glc,BolusFeed_Gln:Gln,Cumulative-SampleVol:BRvol,Cumulative-SampleVol:VCD,Cumulative-SampleVol:Glc,Cumulative-SampleVol:Gln,Cumulative-SampleVol:Amm,Cumulative-SampleVol:Lac,Cumulative-SampleVol:DCD,Cumulative-SampleVol:Lysed,Cumulative-SampleVol:Titer,Cumulative-BolusFeed:BRvol,Cumulative-BolusFeed_Glc:Glc,Cumulative-BolusFeed_Gln:Gln,Cumulative-Total:BRvol,Cumulative-Total:VCD,Cumulative-Total:Glc,Cumulative-Total:Gln,Cumulative-Total:Amm,Cumulative-Total:Lac,Cumulative-Total:DCD,Cumulative-Total:Lysed,Cumulative-Total:Titer,Volume:BRvol,ComputedBRvol
run_idx,timestamps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0.4594663541786473,4.393080527793924,4.722151299900522,0.1,0.1,0.0,0.0,0.0,36.57894736842105,7.263157894736842,163.1578947368421,73.42105263157896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,86400,1.29051133092978,3.791486094497106,3.80347997834751,0.1002146095976726,0.7998436611756242,0.0,0.01559641464777737,0.0,36.57894736842105,7.263157894736842,163.1578947368421,73.42105263157896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,172800,2.971234353166795,3.301045559144171,1.775342964208934,0.3976932501018615,1.628106810100315,0.003813373047856883,0.0152410448483351,25.93959681747243,36.57894736842105,7.263157894736842,163.1578947368421,73.42105263157896,0.0,0.0,4.421052631578947,6.789473684210527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,259200,6.328530201715973,6.985481938519979,4.610315298964319,0.8333585888243598,3.643848348471456,0.05214819242012571,0.004183230968685606,96.16629055043006,36.57894736842105,7.263157894736842,163.1578947368421,73.42105263157896,0.0,0.0,4.421052631578947,6.789473684210527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.421052631578947,6.789473684210527,0.0,0.0,4.421052631578947,6.789473684210527,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,345600,9.919638331119067,8.395996283225637,6.567607296935785,1.409053294255195,5.122238278947936,0.2557436703855934,0.01175282433981902,215.9256515407175,36.57894736842105,7.263157894736842,163.1578947368421,73.42105263157896,0.0,0.0,4.421052631578947,6.789473684210527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.842105263157894,13.578947368421055,0.0,0.0,8.842105263157894,13.578947368421055,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,432000,15.33444120983569,10.70152764169168,6.216147636195844,2.031890669369381,6.004223447971703,0.7243805646931722,0.0,494.2889099000313,36.57894736842105,7.263157894736842,163.1578947368421,73.42105263157896,0.0,0.0,4.421052631578947,6.789473684210527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.26315789473684,20.368421052631582,0.0,0.0,13.26315789473684,20.368421052631582,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,518400,21.84204227680605,11.62756234249644,4.387007810561209,2.650251340912342,6.418568343893998,1.711510994655921,0.0,872.5166166048997,36.57894736842105,7.263157894736842,163.1578947368421,73.42105263157896,0.0,0.0,4.421052631578947,6.789473684210527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.684210526315788,27.15789473684211,0.0,0.0,17.684210526315788,27.15789473684211,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,604800,27.52914616807849,11.44014967067826,0.5870131923681335,3.341270565190437,5.884837164591216,3.344740936027718,0.01787700510526773,1388.247789064113,36.57894736842105,7.263157894736842,163.1578947368421,73.42105263157896,0.0,0.0,4.421052631578947,6.789473684210527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.105263157894733,33.94736842105264,0.0,0.0,22.105263157894733,33.94736842105264,0.0,0.0,0.0,0.0,0.0,1.0,1.0
