group,,X,X,X,X,X,X,X,X,W,W,Z,Z,sampling,bolus,bolus,bolus,cumulative-sampling,cumulative-sampling,cumulative-sampling,cumulative-sampling,cumulative-sampling,cumulative-sampling,cumulative-sampling,cumulative-sampling,cumulative-sampling,cumulative-bolus,cumulative-bolus,cumulative-bolus,cumulative-total,cumulative-total,cumulative-total,cumulative-total,cumulative-total,cumulative-total,cumulative-total,cumulative-total,cumulative-total,initial-volume,computed-volume
var,,VCD:VCD,X:Glc,X:Gln,X:Amm,X:Lac,X:DCD,X:Lysed,X:Titer,W:temp,W:pH,Z:Stir,Z:DO,SampleVol:BRvol,BolusFeed:BRvol,BolusFeed_Glc:Glc,BolusFeed_Gln:Gln,Cumulative-SampleVol:BRvol,Cumulative-SampleVol:VCD,Cumulative-SampleVol:Glc,Cumulative-SampleVol:Gln,Cumulative-SampleVol:Amm,Cumulative-SampleVol:Lac,Cumulative-SampleVol:DCD,Cumulative-SampleVol:Lysed,Cumulative-SampleVol:Titer,Cumulative-BolusFeed:BRvol,Cumulative-BolusFeed_Glc:Glc,Cumulative-BolusFeed_Gln:Gln,Cumulative-Total:BRvol,Cumulative-Total:VCD,Cumulative-Total:Glc,Cumulative-Total:Gln,Cumulative-Total:Amm,Cumulative-Total:Lac,Cumulative-Total:DCD,Cumulative-Total:Lysed,Cumulative-Total:Titer,Volume:BRvol,ComputedBRvol
run_idx,timestamps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0.4642044778577099,5.570781736192324,4.706394619491639,0.1,0.1,0.0,0.0,0.0,37.73684210526316,7.368421052631579,210.5263157894737,57.63157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,86400,1.074445415239341,5.543478378519795,3.933402281607575,0.2917285652285093,0.5651315919048226,0.004513874034375754,0.0,7.034179424255383,37.73684210526316,7.368421052631579,210.5263157894737,57.63157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,172800,2.557253474043098,5.373790622767141,2.161025366144352,0.566032670463957,1.265907677587569,0.0,0.005329830257924668,37.33195805905672,37.73684210526316,7.368421052631579,210.5263157894737,57.63157894736842,0.0,0.0,4.0,7.105263157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,259200,4.939187082034176,7.088997444947712,6.458959419727374,0.8624737229574235,3.578215037191995,0.03491753990031929,0.0,83.18558353546285,37.73684210526316,7.368421052631579,210.5263157894737,57.63157894736842,0.0,0.0,4.0,7.105263157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.105263157894737,0.0,0.0,4.0,7.105263157894737,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,345600,8.352497513675738,9.617662513606593,9.284823427323152,1.345286112403052,4.634674314660127,0.182993274907978,0.0,207.7727057028639,37.73684210526316,7.368421052631579,210.5263157894737,57.63157894736842,0.0,0.0,4.0,7.105263157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,14.210526315789474,0.0,0.0,8.0,14.210526315789474,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,432000,12.35516666651606,11.05356509739035,10.55603647836971,2.102127903787221,5.379285825074806,0.6316775724573128,0.009709917864361085,445.5698587497272,37.73684210526316,7.368421052631579,210.5263157894737,57.63157894736842,0.0,0.0,4.0,7.105263157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,21.315789473684212,0.0,0.0,12.0,21.315789473684212,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,518400,17.21425631858103,12.39966788728692,9.99981987281306,2.677249388161018,6.446798410710485,1.506366450768017,0.01076167586166598,818.5061563272295,37.73684210526316,7.368421052631579,210.5263157894737,57.63157894736842,0.0,0.0,4.0,7.105263157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,28.42105263157895,0.0,0.0,16.0,28.42105263157895,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,604800,23.04898573453778,12.69485278765591,8.225707180333185,3.443833662574169,6.570355592564245,3.068925250684795,0.02805718173808445,1263.682314305656,37.73684210526316,7.368421052631579,210.5263157894737,57.63157894736842,0.0,0.0,4.0,7.105263157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,35.526315789473685,0.0,0.0,20.0,35.526315789473685,0.0,0.0,0.0,0.0,0.0,1.0,1.0
